"Agency","Vendor.System","Finished"
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",1
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",1
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",1
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",1
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
"DHS-CBP - Customs and Border Protection","Concur",0
